Max.,Min.,Morn,Eve,Rain,Rainy Days ,PE,year,month,day,Next_Max,Next_Min
21.0,13.5,78.0,48.0,0.0,0.0,0.43,2020,1,1,22.5,13.5
22.5,13.5,78.0,48.0,2.0,1.0,0.43,2020,1,2,21.5,15.5
21.5,15.5,78.0,48.0,0.0,0.0,0.43,2020,1,3,19.0,11.5
19.0,11.5,78.0,48.0,0.0,0.0,0.87,2020,1,4,23.0,8.0
23.0,8.0,78.0,48.0,0.0,0.0,1.74,2020,1,5,24.0,7.0
24.0,7.0,78.0,48.0,0.0,0.0,2.6,2020,1,6,25.0,9.0
25.0,9.0,78.0,48.0,0.0,0.0,2.17,2020,1,7,27.0,13.0
27.0,13.0,78.0,48.0,0.0,0.0,2.6,2020,1,8,21.0,10.0
21.0,10.0,78.0,48.0,0.0,0.0,3.04,2020,1,9,18.0,4.0
18.0,4.0,78.0,48.0,0.0,0.0,1.74,2020,1,10,20.0,4.0
20.0,4.0,78.0,48.0,0.0,0.0,1.74,2020,1,11,25.0,4.5
25.0,4.5,78.0,48.0,0.0,0.0,2.17,2020,1,12,27.0,5.0
27.0,5.0,78.0,48.0,0.0,0.0,3.04,2020,1,13,25.5,12.5
25.5,12.5,78.0,48.0,0.0,0.0,3.47,2020,1,14,27.0,14.0
27.0,14.0,78.0,48.0,0.0,0.0,1.74,2020,1,15,23.0,14.5
23.0,14.5,78.0,48.0,0.0,0.0,3.04,2020,1,16,24.0,14.0
24.0,14.0,78.0,48.0,0.0,0.0,2.6,2020,1,17,23.0,12.0
23.0,12.0,78.0,48.0,0.0,0.0,3.04,2020,1,18,21.0,8.5
21.0,8.5,78.0,48.0,0.0,0.0,2.6,2020,1,19,21.0,5.0
21.0,5.0,78.0,48.0,0.0,0.0,2.6,2020,1,20,25.0,9.0
25.0,9.0,78.0,48.0,0.0,0.0,3.04,2020,1,21,27.0,14.5
27.0,14.5,78.0,48.0,0.0,0.0,3.04,2020,1,22,26.5,11.5
26.5,11.5,78.0,48.0,0.0,0.0,2.6,2020,1,23,24.5,8.0
24.5,8.0,78.0,48.0,0.0,0.0,3.47,2020,1,24,25.0,7.5
25.0,7.5,78.0,48.0,0.0,0.0,2.6,2020,1,25,24.0,7.5
24.0,7.5,78.0,48.0,0.0,0.0,2.6,2020,1,26,24.5,8.5
24.5,8.5,78.0,48.0,0.0,0.0,2.6,2020,1,27,26.0,10.0
26.0,10.0,78.0,48.0,0.0,0.0,3.04,2020,1,28,24.5,12.0
24.5,12.0,78.0,48.0,0.0,0.0,2.6,2020,1,29,22.0,8.0
22.0,8.0,78.0,48.0,0.0,0.0,2.17,2020,1,30,23.0,7.0
23.0,7.0,78.0,48.0,0.0,0.0,1.74,2020,1,31,22.5,7.5
22.5,7.5,78.0,48.0,0.0,0.0,1.74,2020,2,1,23.0,6.5
23.0,6.5,78.0,48.0,0.0,0.0,1.74,2020,2,2,24.0,7.5
24.0,7.5,78.0,48.0,0.0,0.0,2.17,2020,2,3,24.0,11.0
24.0,11.0,78.0,48.0,0.0,0.0,2.6,2020,2,4,22.5,12.0
22.5,12.0,78.0,48.0,0.0,0.0,1.3,2020,2,5,24.0,11.0
24.0,11.0,78.0,48.0,0.0,0.0,0.87,2020,2,6,24.5,10.5
24.5,10.5,78.0,48.0,0.0,0.0,1.3,2020,2,7,24.5,9.5
24.5,9.5,78.0,48.0,0.0,0.0,1.3,2020,2,8,24.0,8.0
24.0,8.0,78.0,48.0,0.0,0.0,1.74,2020,2,9,25.0,6.5
25.0,6.5,78.0,48.0,0.0,0.0,1.74,2020,2,10,25.5,7.5
25.5,7.5,78.0,48.0,0.0,0.0,1.74,2020,2,11,27.0,9.5
27.0,9.5,78.0,48.0,0.0,0.0,2.17,2020,2,12,28.0,9.0
28.0,9.0,78.0,48.0,0.0,0.0,2.6,2020,2,13,29.0,8.0
29.0,8.0,78.0,48.0,0.0,0.0,2.6,2020,2,14,29.0,11.0
29.0,11.0,78.0,48.0,0.0,0.0,2.6,2020,2,15,28.0,10.0
28.0,10.0,78.0,48.0,0.0,0.0,3.04,2020,2,16,28.0,8.5
28.0,8.5,78.0,48.0,0.0,0.0,3.91,2020,2,17,30.0,7.0
30.0,7.0,78.0,48.0,0.0,0.0,3.04,2020,2,18,30.0,8.5
30.0,8.5,78.0,48.0,0.0,0.0,3.47,2020,2,19,31.0,12.5
31.0,12.5,78.0,48.0,0.0,0.0,3.47,2020,2,20,30.0,123.5
30.0,123.5,78.0,48.0,0.0,0.0,3.47,2020,2,21,29.0,15.0
29.0,15.0,78.0,48.0,0.0,0.0,3.47,2020,2,22,29.5,14.0
29.5,14.0,78.0,48.0,0.0,0.0,3.47,2020,2,23,30.0,13.5
30.0,13.5,78.0,48.0,0.0,0.0,3.47,2020,2,24,28.0,10.5
28.0,10.5,78.0,48.0,0.0,0.0,3.91,2020,2,25,28.0,9.0
28.0,9.0,78.0,48.0,0.0,0.0,2.6,2020,2,26,29.5,11.5
29.5,11.5,78.0,48.0,0.0,0.0,3.04,2020,2,27,30.0,12.0
30.0,12.0,78.0,48.0,0.0,0.0,3.47,2020,2,28,29.0,13.0
29.0,13.0,78.0,48.0,0.0,0.0,3.04,2020,2,29,28.0,13.5
28.0,13.5,78.0,48.0,0.0,0.0,3.04,2020,3,1,26.5,13.0
26.5,13.0,78.0,48.0,1.2,1.0,2.17,2020,3,2,28.0,13.0
28.0,13.0,78.0,48.0,0.0,0.0,0.87,2020,3,3,30.0,11.5
30.0,11.5,78.0,48.0,0.0,0.0,2.17,2020,3,4,30.0,12.0
30.0,12.0,78.0,48.0,0.0,0.0,2.6,2020,3,5,29.0,11.0
29.0,11.0,78.0,48.0,0.0,0.0,2.17,2020,3,6,28.0,11.0
28.0,11.0,78.0,48.0,0.0,0.0,2.6,2020,3,7,28.0,10.5
28.0,10.5,78.0,48.0,0.0,0.0,2.6,2020,3,8,28.0,10.0
28.0,10.0,78.0,48.0,0.0,0.0,2.6,2020,3,9,27.0,11.0
27.0,11.0,78.0,48.0,0.0,0.0,2.17,2020,3,10,29.0,11.5
29.0,11.5,78.0,48.0,0.0,0.0,2.6,2020,3,11,29.5,13.0
29.5,13.0,78.0,48.0,0.0,0.0,3.04,2020,3,12,29.5,12.0
29.5,12.0,78.0,48.0,0.0,0.0,3.04,2020,3,13,29.0,10.5
29.0,10.5,78.0,48.0,0.0,0.0,2.6,2020,3,14,28.5,9.5
28.5,9.5,78.0,48.0,0.0,0.0,2.6,2020,3,15,28.5,9.0
28.5,9.0,78.0,48.0,0.0,0.0,2.6,2020,3,16,31.0,11.5
31.0,11.5,78.0,48.0,0.0,0.0,3.04,2020,3,17,33.0,15.0
33.0,15.0,78.0,48.0,0.0,0.0,3.91,2020,3,18,35.0,17.0
35.0,17.0,78.0,48.0,3.1,1.0,1.74,2020,3,19,31.5,16.0
