Date,Max.,Min.,RH%,RH%,Rain,ET
01.01.99,25,10,64,28,0,4.34
02.01.99,23,8,70,27,0,3.48
03.01.99,25,8,83,30,0,2.61
04.01.99,25.6,9.2,78,30,0,3.48
05.01.99,24,10,66,47,0,3.48
06.01.99,27,11,77,49,3.2,1.46
07.01.99,26,13,90,35,0,3.48
08.01.99,26,7,76,48,0,3.48
09.01.99,20,7,83,30,0,2.61
10.01.99,21,6,75,36,0,2.61
11.01.99,21,6,84,35,0,2.61
12.01.99,22,7,66,29,0,2.61
13.01.99,25,9,78,33,0,2.61
14.01.99,23,10,79,38,0,3.48
15.01.99,23,9.6,74,37,0,3.48
16.01.99,23,9,61,36,0,2.61
17.01.99,24,9,63,34,0,3.48
18.01.99,23,8,75,37,0,3.48
19.01.99,24,9,66,34,0,3.48
20.01.99,26,10,60,37,0,3.48
21.01.99,27,11,75,37,0,2.61
22.01.99,29,12,82,38,0,3.48
23.01.99,29,14,49,43,0,2.61
24.01.99,27,12,88,43,0,2.61
25.01.99,26,13,91,43,0,2.61
26.01.99,27,12,82,42,0,3.48
27.01.99,25,10,66,38,0,3.48
28.01.99,26,13,69,39,0,4.34
29.01.99,26,10,59,38,0,3.48
30.01.99,24,7,75,39,0,3.48
31.01.99,26,8,76,41,0,3.48
01.02.99,24,10,73,49,0,3.48
02.02.99,23,12,75,34,0,3.48
03.02.99,23,14,84,62,8.2,0
02.02.99,22,16,91,100,35,0
05.02.99,15,13,95,80,0,1.74
06.02.99,19,13,81,67,0,2.61
07.02.99,24,15,85,39,23.4,0
08.02.99,27,17,96,81,0,0
09.02.99,21,15,89,86,3.8,0
10.02.99,19,12,89,66,2,0.26
11.02.99,23,13,89,64,0,2.61
12.02.99,27,15,88,54,0,2.61
13.02.99,28,15,88,51,0,3.48
14.02.99,28,14,89,50,0,3.48
15.02.99,27,13,85,46,0,4.34
16.02.99,27,14,79,51,0,3.48
17.02.99,29,16,80,52,0,4.34
18.02.99,29,17,81,49,0,3.48
19.02.99,30,18,85,50,0,3.48
20.02.99,30,18,87,50,0,3.48
21.02.99,29,16,81,53,0,4.34
22.02.99,31,18,85,44,0,4.34
23.02.99,32,16,81,40,0,4.34
24.02.99,32,17,90,40,0,3.48
25.02.99,31,16,81,45,0,4.34
26.02.99,30,16,81,49,0,3.48
27.02.99,29,16,66,49,0,4.34
28.02.99,29,15,71,52,0,6.08
,,,,,,
01.03.99,28,14,90,53,0,5.21
02.03.99,27,10,58,40,0,4.34
03.03.99,27,10,58,44,0,4.34
04.03.99,29,14,65,53,0,4.34
05.03.99,32,15,62,58,0,5.21
06.03.99,32,16,62,55,0,5.21
07.03.99,33.6,17.6,62,56,0,4.34
08.03.99,34,17,66,59,0,5.21
09.03.99,33,18,66,44,0,5.21
10.03.99,32,16,65,30,0,5.21
11.03.99,31,16,61,31,0,6.08
12.03.99,21,17,50,35,0,6.08
13.03.99,30,16,62,30,0,6.08
14.03.99,29,15,42,27,0,6.08
15.03.99,30,14,56,29,0,6.08
16.03.99,31,17,65,21,0,6.95
17.03.99,35,16,52,30,0,6.08
18.03.99,33,16,52,32,0,6.95
19.03.99,33,13,55,28,0,6.95
20.03.99,32,16,53,28,0,6.08
21.03.99,33,12,57,25,0,5.21
22.03.99,32,12,41,23,0,6.08
23.03.99,32,13,43,22,0,6.08
24.03.99,34,14,42,21,0,6.08
25.03.99,36,16,37,15,0,7.82
26.03.99,36,19,34,26,0,9.56
27.03.99,35,16,53,18,0,9.95
28.03.99,35,14,50,18,0,8.69
29.03.99,37,15,35,17,0,9.56
30.03.99,38,21,61,19,0,7.82
31.03.99,39,16,45,27,0,6.95
01.04.99,39,17,47,19,0,6.95
02.04.99,40,16,48,22,0,6.08
03.04.99,38,20,40,19,0,6.08
04.04.99,39,20,32,17,0,7.82
05.04.99,38,18,31,12,0,7.82
06.04.99,39,18,24,11,0,8.69
07.04.99,40,18,38,16,0,9.56
08.04.99,40,20,33,17,0,9.56
09.04.99,42,21,30,19,0,9.56
10.04.99,41,21,32,17,0,9.56
11.04.99,41,21,35,20,0,8.69
12.04.99,40,19,28,15,0,9.56
13.04.99,41,23,33,16,0,9.56
14.04.99,39,21,26,15,0,9.56
15.04.99,38,17,32,12,0,8.69
16.04.99,38,15,37,17,0,8.69
17.04.99,37,15,41,9,0,9.56
18.04.99,39,16,31,7,0,8.69
19.04.99,39,19,30,17,0,8.69
20.04.99,40,22,31,14,0,8.69
21.04.99,41,22,27,12,0,8.69
22.04.99,42,22,30,9,0,7.88
23.04.99,42,23,32,14,0,8.69
24.04.99,41,23,31,17,0,9.56
25.04.99,42,25,29,14,0,10.43
26.04.99,41,26,28,15,0,10.43
27.04.99,41,25,32,23,0,11.3
28.04.99,41,24,32,23,0,11.3
29.04.99,41,25,39,18,0,11.3
30.04.99,42,27,40,17,0,12.17
01.05.99,42,26,41,14,0,12.17
02.05.99,43,28,34,16,0,12.17
03.05.99,436,28,37,13,0,12.17
04.05.99,43,28,31,13,0,12.17
05.05.99,43,25,36,10,0,12.17
06.05.99,43,26,27,11,0,13.03
07.05.99,42,27,33,17,0,13.03
08.05.99,41,30,48,26,0,12.17
09.05.99,39,26,37,28,0,6.95
10.05.99,40,26,33,16,0,12.17
11.05.99,40,28,41,21,0,11.3
12.05.99,40,26,39,17,0,10.43
13.05.99,41,27,35,22,0,0
14.05.99,40,24,44,29,0.3,NR
15.05.99,39,23,59,29,0,
16.05.99,40,25,40,28,0,
17.05.99,43,27,42,20,0,
18.05.99,42,29,34,20,0,
19.05.99,42,29,49,23,0,
20.05.99,41,30,43,23,0,
21.05.99,38,28,51,22,5,
22.05.99,39,26,26,35,0,
23.05.99,36,26,59,33,0,
24.05.99,38,28,58,32,0,
25.05.99,39,29,48,31,0,
26.05.99,38,26,62,33,0,
27.05.99,39,28,51,23,0,
28.05.99,42,29,51,23.6,0,10.43
29.05.99,42,29,57,25.6,0,13
30.05.99,40,28,53,25,0,13.9
31.05.99,39,27,45,24,0,10.43
01.06.99,37,29,56,31,0,10.43
02.06.99,37,27,65,26,0,11.3
03.06.99,38,26,52,22,0,11.3
04.06.99,38,26,43,31,0,11.3
05.06.99,37.6,26,54,31,0,12.17
06.06.99,40,29,56,32,0,13
07.06.99,41,29,75,32,0,13
08.06.99,26.6,23,76,36,0,8.49
09.06.99,26.6,25,77,34,3,1.26
10.06.99,34,26,75,50,0,6.08
11.06.99,35,26,71,40,7.4,10.1
12.06.99,28,26,92,52,2,4.61
13.06.99,33,22,71,47,0,7.82
14.06.99,35,27,71,52,21,1.75
15.06.99,28,23,77,40,8.6,0.96
16.06.99,29,23,92,40,6.2,1.55
17.06.99,30,24,84,38,7.6,1.29
18.06.99,30,24,85,92,34.4,0
19.06.99,30,26,92,73,3.8,2.57
20.06.99,26,23,87,87,3.8,0.79
21.06.99,25,24,92,69,12,0.7
22.06.99,30,24,96,95,17.3,0.43
23.06.99,26,24,90,82,0,2.61
24.06.99,28,25,88,60,0,6.08
25.06.99,31,25,92,60,0,6.08
26.06.99,32,25,92,54,0,6.08
27.06.99,32,26,77,53,0,6.95
28.06.99,33,26,70,49,0,6.08
29.06.99,33,26,72,45,0,6.95
30.06.99,33,25,67,52,0,6.95
01.07.99,32,26,70,41,0,6.95
02.07.99,32,25,7,55,0,7.82
03.07.99,33,26,70,45,0,7.82
04.07.99,33,26,66,43,0,7.82
05.07.99,35,27,68,43,2,3.48
06.07.99,35,25,86,55,0,5.21
07.07.99,33,25,65,81,11.5,1.05
08.07.99,33,24,64,77,0,3.48
09.07.99,32,25,92,66,0,6.95
10.07.99,32,26,82,61,5.2,1.2
11.07.99,32,25,84,64,0,6.08
12.07.99,31,25,84,60,3.8,0.87
13.07.99,32,25,84,64,0,6.08
14.07.99,32,26,88,68,123.7,0
15.07.99,31,23,96,87,81,0
16.07.99,27,24,98,83,30.6,0
17.07.99,30,25,92,82,15.3,0
18.07.99,29,25,96,89,1,1.61
19.07.99,27,25,92,96,38.7,0
20.07.99,24,24,91,80,3.5,2.63
21.07.99,27,24,88,83,17.8,3.03
22.07.99,27,24,93,88,32.1,0
23.07.99,27,24,96,95,28,0
24.07.99,25,24,88,98,13.5,1.33
25.07.99,26,24,95,96,12.1,1.67
26.07.99,23,23,95,88,2.6,0
27.07.99,24,23,95,78,0,0.87
28.07.99,28,25,85,84,1.3,0
29.07.99,26,25,85,83,10.2,1.51
30.07.99,27,24,60,96,21,3.62
31.07.99,24,24,91,98,0,0
01.08.99,27,25,93,87,1.5,0
02.08.99,27,25,93,78,39.5,0
03.08.99,29,24,95,93,6.4,0.32
04.08.99,25,24,90,86,44.5,0
05.08.99,27,24,93,92,59.9,0
06.08.99,26,24,98,95,4.5,1.02
07.08.99,25,24,91,90,0,1.74
08.08.99,25,24,91,87,44.6,0
09.08.99,25,24,95,97,86.5,0
10.08.99,26,23,93,92,17.3,5.13
11.08.99,25,24,88,85,0,2.61
12.08.99,29,24,82,80,2.6,1.72
13.08.99,27,25,92,69,0,1.72
14.08.99,29,24,84,68,0,2.61
15.08.99,29,24,90,71,0,3.48
16.08.99,30,23.6,92,62,0,5.21
17.08.99,30,24,91,72,0,4.34
18.08.99,30,23.6,92,80,7.7,0.75
19.08.99,25,24,87,92,18,4.97
20.08.99,25,24,100,91,3.6,0.12
21.08.99,27,24,90,77,14,3.57
22.08.99,27,24,93,77,0,1.74
23.08.99,28,24,92,71,0,2.61
24.08.99,29,24,92,61,0,3.48
25.08.99,30,24,93,73,0,3.48
26.08.99,30,23,91,71,0,3.48
27.08.99,30,24,88,83,5.4,3.26
28.08.99,30,25,84,92,25.4,2
29.08.99,28,23,98,80,1.2,2.94
30.08.99,28,24,92,79,5.6,2.12
31.08.99,29,24,92,77,8.2,3.86
01.09.99,30,24,96,85,15.8,3.63
02.09.99,27,24,92,85,0,3.48
03.09.99,28,24,91,92,76.4,0
04.09.99,27,22,96,91,13.4,3.84
05.09.99,26,23,96,88,0,0
06.09.99,27,24,93,85,7.6,2.39
07.09.99,28,24,95,90,2,1.13
08.09.99,28,24,96,76,1.2,1.41
09.09.99,29,23,95,78,0,2.61
10.09.99,29,24,96,69,0,3.48
11.09.99,29,25,92,89,2.2,0.26
12.09.99,29,24,88,75,9.4,1.18
13.09.99,30,23,95,85,30.4,0
14.09.99,27,23,98,96,66.4,0
15.09.99,25,23,96,98,83.4,0
16.09.99,24,23,100,92,35.4,0
17.09.99,26,23,96,81,2.6,1.74
18.09.99,28,23,93,79,57,0
19.09.99,27,22,96,96,28.8,0
20.09.99,24.6,22.4,98,96,16.6,0
21.09.99,24,23.6,91,65,18.3,7.87
22.09.99,30,24,95,75,26.4,8.02
23.09.99,29,24,86,74,33.2,9.74
24.09.99,29,23,92,81,2.2,0
25.09.99,30,23,92,87,2.2,0.46
26.09.99,25,23,91,85,1,1.87
27.09.99,29,22,77,62,0,3.48
28.09.99,32,23,88,66,0,4.34
29.09.99,31,25,70,64,0,4.34
30.09.99,31,24.6,81,66,0,5.21
01.10.99,31.6,25,87,64,0,3.48
02.10.99,31,23,87,68,0,4.34
03.10.99,30,22,88,60,2.2,3.74
04.10.99,29,24,84,69,2.4,4.14
05.10.99,31,24.6,84,63,0,3.48
06.10.99,30,24.6,77,64,7.4,1.32
07.10.99,31,24,84,69,58.2,0
08.10.99,29,24,96,74,3.4,0.79
09.10.99,28,23,96,75,0.4,4.74
