Date,Max.,Min.,Morn,Eve.,Daily,PE
01.01.08,23,11,76,65,0,4.34
02.01.08,24,12,81,80,0,3.91
3.01.08,24,11,88,74,0,3.48
4.01.08,25,11,88,80,0,2.61
5.01.08,23,11,81,69,0,3.48
6.01.08,25,11,95,76,0,3.91
7.01.08,28,12,82,77,0,3.91
8.01.08,27,13,82,78,0,2.61
9.01.08,27,14,95,77,0,4.34
10.01.08,28,13,88,75,0,4.34
11.01.08,27,13,95,77,0,3.48
12.01.08,27,12,95,84,0,3.91
13.01.08,25,12,87,65,0,4.34
14.01.08,25,10,95,80,0,3.91
15.01.08,24,10,87,72,0,3.48
16.01.08,24,10,80,65,0,3.91
17.01.08,24,10,87,69,0,2.61
18.01.08,26,12,95,77,0,3.04
19.01.08,27,12,71,77,0,2.61
20.01.08,25,11,76,65,0,3.04
21.01.08,23,11,87,91,0,3.48
22.01.08,19,9,79,65,0,2.61
23.01.08,19,9,79,90,0,2.61
24.01.08,19,5,84,86,0,3.48
25.01.08,19,6,87,81,0,3.91
26.01.08,20,8,79,82,0,2.61
27.01.08,20,8,78,86,0,3.04
28.01.08,20,7,85,83,0,2.61
29.01.08,23,7,87,80,0,3.04
30.01.08,24,10,88,83,0,3.48
31.01.08,23,9,81,86,0,2.61
,23.77,10.32,85.1,77.26,0,3.38
1.02.08,19,4,54,80,0,3.91
2.02.08,21,6,82,75,0,3.04
3.02.08,25,8,95,84,0,3.91
4.02.08,25,11,88,83,0,3.48
5.02.08,22,9,87,97,0,3.91
6.02.08,23,10,95,92,0,3.91
7.02.08,21,10,88,81,0,3.04
8.02.08,20,12,95,67,0,2.61
9.02.08,22,10,80,62,0,3.48
10.02.08,20,4,80,72,0,4.34
11.02.08,20,7,91,78,0,3.91
12.02.08,22,7,86,83,0,3.04
13.02.08,21,5,84,78,0,3.04
14.02.08,25,6,91,83,0,3.04
15.02.08,25,8,95,74,0,5.22
16.02.08,27,9,80,58,0,4.34
17.02.08,29,11,83,64,0,4.78
18.02.08,29,12,80,64,0,4.34
19.02.08,30,12,95,58,0,3.48
20.02.08,29,10,70,77,0,3.04
21.02.08,26,9,87,75,0,3.48
22.02.08,28,10,87,59,0,3.04
23.02.08,30,12,88,60,0,4.78
24.02.08,31,13,80,60,0,3.04
25.02.08,29,13,82,60,0,3.04
26.02.08,26,10,81,75,0,3.91
27.02.08,28,11,88,74,0,4.34
28.02.08,26,9,80,63,0,4.34
29.02.08,29,10,81,65,0,3.91
,25.1,9.24,84.59,72.45,0,3.72
1.03.08,31,11,88,58,0,4.34
2.03.08,32,12,81,60,0,4.78
3.03.08,32,13,88,68,0,4.34
4.03.08,32,12,88,59,0,4.34
5.03.08,33,12,89,56,0,5.22
