Date,Max.,Min.,Morn,Eve.,Daily,Rainy Days ,PE
01.01.11,20,8,76,62,0,0,3.48
2.01.11,20,7,71,54,0,0,2.61
3.01.11,19,6,72,65,0,0,3.48
4.01.11,20,7,86,45,0,0,4.34
5.01.11,19,4,86,77,0,0,2.17
6.01.11,18,5,84,64,0,0,3.91
7.01.11,20,5,83,65,0,0,3.04
8.01.11,20,7,83,62,0,0,2.61
9.01.11,21,6,69,65,0,0,3.04
10.01.11,23,6,73,64,0,0,3.04
11.01.11,20,5,89,65,0,0,3.91
12.01.11,21,5,86,60,0,0,2.61
13.01.11,26,8,84,72,0,0,4.34
14.01.11,26,10,86,70,0,0,5.22
15.01.11,25,11,87,62,0,0,5.22
16.01.11,23,10,74,62,0,0,3.04
17.01.11,21,5,75,62,0,0,3.91
18.01.11,22,8,72,60,0,0,2.17
19.01.11,23,10,84,62,0,0,2.61
20.01.11,24,10,87,60,0,0,4.34
21.01.11,21,7,81,65,0,0,3.48
22.01.11,22,9,88,60,0,0,2.61
23.01.11,25,11,87,72,0,0,1.74
24.01.11,26,9,88,65,0,0,4.34
25.01.11,26,9,84,60,0,0,3.04
26.01.11,23,10,87,62,0,0,2.61
27.01.11,23,10,87,65,0,0,3.48
28.01.11,23,9,86,62,0,0,2.17
29.01.11,24,11,88,60,0,0,3.04
30.01.11,25,12,88,61,0,0,4.34
31.01.11,25,13,82,75,0,0,1.74
Average,26,4,89,45,0,0,3.28
1.02.11,23,11,87,60,0,0,3.48
2.02.11,24,10,92,72,0,0,3.04
3.02.11,24,10,87,61,0,0,3.91
4.02.11,25,11,92,65,0,0,5.22
5.02.11,26,11,87,64,0,0,3.04
6.02.11,27,11,88,77,0,0,1.74
7.02.11,26,11,87,64,0,0,3.48
8.02.11,26,12,84,65,0,0,4.34
9.02.11,26,11,86,64,0,0,5.22
10.02.11,26,13,84,71,0,0,3.48
11.02.11,26,14,88,77,0,0,2.61
12.02.11,26,13,76,64,0,0,1.74
13.02.11,26,14,89,72,0,0,4.34
14.02.11,26,19,90,74,0,0,5.22
15.02.11,29,16,83,64,0,0,3.48
16.02.11,28,16,88,65,0,0,3.48
17.02.11,25,14,89,77,0,0,3.48
18.02.11,26,13,84,45,0,0,5.22
19.02.11,23,13,71,68,0,0,4.34
20.02.11,24,13,76,62,0,0,4.34
21.02.11,22,10,87,61,0,0,2.61
22.02.11,24,10,78,64,0,0,4.34
23.02.11,26,11,78,64,0,0,4.34
24.02.11,29,14,83,65,0,0,3.48
25.02.11,27,13,89,64,0,0,4.34
26.02.11,28,12,93,71,0,0,4.34
