Date,Max.,Min.,Morn,Eve.,Daily,Rainy Days ,PE,cloud cover
01.01.14,27.1,15,66,36,0,0,1.74,
2.01.14,28.4,14,67,29,0,0,3.48,
3.01.14,21.3,13,66,21,0,0,1.74,
4.01.14,26.1,14,70,17,0,0,2.17,
5.01.14,29.3,14.4,67,29,0,0,1.74,
6.01.14,24.9,14,66,21,0,0,1.74,
7.01.14,21.3,13,70,17,0,0,1.74,
8.01.14,25.4,10.4,59,21,0,0,2.61,
9.01.14,26.4,12,70,31,0,0,0.87,
10.01.14,27.8,14.2,80,30,0,0,0.87,
11.01.14,26.7,14.3,85,43,0,0,1.74,
12.01.14,19.6,13,70,41,5.4,1,3.66,
13.01.14,22.9,9,66,33,0,0,1.74,
14.01.14,23.4,9.8,77,33,0,0,0.87,
15.01.14,27.9,13.2,77,33,0,0,2.61,
16.01.14,26,16.2,87,40,0,0,2.61,
17.01.14,21.1,13.4,80,39,0,0,1.74,
18.01.14,24.3,13.9,80,42,11.6,1,5.95,
19.01.14,24,13.8,83,44,0,0,1.74,
20.01.14,22.5,10.8,84,46,0,0,2.47,
21.01.14,25.2,12.6,82,40,0,0,1.74,
22.01.14,27.7,15.8,87,42,0,0,1.74,
23.01.14,23.8,14.4,87,42,0,0,1.74,
24.01.14,22,13,86,41,10.2,1,3.25,
25.01.14,23.8,12.8,88,40,0,0,1.3,
26.01.14,24.3,11,83,34,0,0,1.3,
27.01.14,23.7,104,92,32,0,0,1.3,
28.01.14,24.7,10.8,88,25,0,0,1.74,
29.01.14,26.2,9.4,77,19,0,0,2.17,
30.01.14,26.4,9.4,76,24,0,0,2.61,
31.01.14,26.5,10,77,23,0,0,1.74,
Average,29.3,9,92,17,27.2,3,2.08,0
1.02.14,26.5,11.9,77,31,0,0,2.61,
2.02.14,26.7,10.8,78,28,0,0,2.61,
3.02.14,26.3,9.8,80,25,0,0,3.04,
4.02.14,29.2,11.3,88,32,0,0,2.61,
5.02.14,29.3,11.6,87,36,0,0,2.61,
6.02.14,29.7,12.3,88,40,0,0,3.48,
7.02.14,32.1,14.6,88,40,0,0,4.34,
8.02.14,30.1,14.6,77,42,0,0,3.48,
9.02.14,29.7,12.8,78,38,0,0,2.61,
10.02.14,26.6,11,77,38,0,0,1.74,
11.02.14,27,11.8,78,37,0,0,2.61,
12.02.14,27.2,11.7,70,28,0,0,0.86,
13.02.14,26.5,13,70,25,0,0,2.61,
14.02.14,27.9,13,65,23,0,0,3.91,
15.02.14,26.7,11,60,20,0,0,1.74,
16.02.14,24.7,11,60,20,0,0,1.74,
17.02.14,24.1,11,70,16,0,0,1.74,
18.02.14,24.7,9.8,65,18,0,0,1.74,
19.02.14,26.7,8.9,65,14,0,0,2.61,
20.02.14,29.9,9.9,64,13,0,0,3.04,
21.02.14,31.2,13,65,12,0,0,1.74,
22.02.14,33,15.8,68,26,0,0,2.61,
23.02.14,29,17,69,34,0,0,2.17,
24.02.14,25.2,15.6,65,34,0,0,1.74,
25.02.14,29.2,19.6,61,35,2,1,2.61,
26.02.14,27.6,16.8,79,34,0,0,0.43,
27.02.14,28.4,15.5,92,33,0,0,2.04,
28.02.14,28.4,14.9,88,25,0,0,2.34,
Average,33,8.9,92,12,2,1,2.32,0
1.03.14,28.1,17.8,66,20,0,0,3.48,
2.03.14,28.2,14.6,77,19,0,0,2.61,
3.03.14,27.7,12.8,67,20,0,0,1.74,
4.03.14,26.9,12.6,59,23,0,0,3.48,
05.03.14,28.2,14.4,76,28,0,0,2.61,
6.03.14,31.1,14.4,66,24,0,0,2.61,
7.03.14,30.5,15.8,69,28,0,0,2.61,
8.03.14,32.3,15,66,28,0,0,9.91,
9.03.14,31,16,67,29,0,0,4.34,
10.03.14,32.4,16.8,76,30,0,0,4.24,
11.03.14,32.5,17,77,29,0,0,4.24,
12.03.14,32.5,16.2,68,31,0,0,3.48,
13.03.14,33.7,17.1,77,20,0,0,3.48,
14.03.14,33.3,17,76,27,0,0,3.91,
15.03.14,34.9,18.6,77,27,0,0,4.34,
16.03.14,36.6,20.1,79,16,0,0,4.34,
17.03.14,37,19,78,18,0,0,4.34,
18.03.14,38.7,19.8,77,18,0,0,4.34,
19.03.14,36,19.4,76,19,0,0,4.78,
20.03.14,36,17.9,77,19,0,0,4.78,
21.03.14,6,17,51,18,0,0,4.78,
22.03.14,36.8,16,45,16,0,0,5.21,
23.03.14,36,16.4,45,16,0,0,5.68,
24.03.14,38.5,14.4,56,11,0,0,6.08,
25.03.14,35.7,18,56,11,0,0,5.09,
26.03.14,38.7,20,48,11,0,0,3.48,
27.03.14,38.1,19,50,13,0,0,5.21,
28.03.14,38.2,19.6,48,11,0,0,6.08,
29.03.14,38.4,20.2,44,12,0,0,6.96,
30.03.14,38.9,20.8,33,8,0,0,6.08,
31.03.14,39.4,20.1,44,10,0,0,7.39,
Average,39.4,12.6,79,8,0,0,4.57,0
1.04.14,38,19.2,43,8,0,0,6.95,
2.04.14,38,19,34,8,0,0,7.82,
3.04.14,37,18.4,32,19,0,0,6.08,
4.04.14,38.9,19.6,31,18,0,0,6.95,
5.04.14,39.5,21.7,36,12,0,0,5.21,
6.04.14,40,19,27,12,0,0,6.08,
7.04.14,40.2,20.4,25,11,0,0,6.95,
8.04.14,38.9,21.8,25,10,0,0,7.39,
9.04.14,38.1,25.6,23,10,0,0,7.82,
10.04.14,38,21.9,25,9,0,0,8.69,
11.04.14,38,18.6,24,9,0,0,9.99,
12.04.14,30.5,18.6,22,6,0,0,9.99,
13.04.14,39.3,18.6,21,5,0,0,8.9,
14.04.14,40.2,19,20,8,0,0,8.77,
15.04.14,40.4,20,20,8,0,0,7.39,
16.04.14,40.5,22,34,8,0,0,8.69,
17.04.14,40.9,23,55,8,0,0,9.18,
18.04.14,41.5,25.5,55,10,0,0,6.95,
19.04.14,40,22.9,44,11,8.2,1,7.82,
20.04.14,37.5,20.7,46,12,0,0,8.69,
21.04.14,39,23.6,45,12,0,0,9.56,
22.04.14,39.5,21,44,14,0,0,9.18,
23.04.14,39.4,25,50,14,0,0,9.56,
24.04.14,38.9,21,46,12,0,0,10.43,
25.04.14,40,20.2,40,9,0,0,10.43,
26.04.14,41.1,21.2,35,7,0,0,11.3,
27.04.14,41.4,22,35,7,0,0,11.75,
28.04.14,41.9,24,35,7,0,0,10.43,
29.04.14,41.8,23.6,35,7,0,0,9.18,
30.04.14,43.3,23.6,30,7,0,0,9.18,
