Date,Max.,Min.,Morn,Eve.,Daily,Rainy Days ,PE,,,,,
01.01.19,25.5,4.5,64,47,,,3.47,,,,,
2.01.19,26.5,6.5,61,40,,,3.47,,,,,
3.01.19,25,7,77,49,,,2.6,,,,,
4.01.19,24.5,7,77,52,,,3.47,,,,,
5.01.19,27,8,72,59,,,2.6,,,,,
6.01.19,27,11,72,64,,,0.87,,,,,
7.01.19,22,8,87,53,,,0.87,,,,,
8.01.19,22,5,82,63,,,3.47,,,,,
9.01.19,23,5,91,58,,,2.6,,,,,
10.01.19,24,6,73,53,,,2.6,,,,,
11.01.19,23,6,69,53,,,2.6,,,,,
12.01.19,24,6,51,--,,,1.74,,,,,
13.01.19,26,8,79,62,,,2.6,,,,,
14.01.19,23,9,77,72,,,3.47,,,,,
15.01.19,22,6,66,53,,,2.6,,,,,
16.01.19,22,6,57,44,,,2.6,,,,,
17.01.19,25,6,62,42,,,2.6,,,,,
18.01.19,24.5,8,63,39,,,1.74,,,,,
19.01.19,25,7,66,36,,,2.6,,,,,
20.01.19,27,8,65,50,,,2.6,,,,,
21.01.19,28,9,78,41,,,3.47,,,,,
22.01.19,26,11,70,60,,,2.6,,,,,
23.01.19,26,11.5,85,50,,,1.74,,,,,
24.01.19,25,11,94,68,,,2.6,,,,,
25.01.19,21,10,85,77,,,1.74,,,,,
26.01.19,22,11,79,60,,,0.87,,,,,
27.01.19,20,8,78,61,,,1.74,,,,,
28.01.19,21,4,64,46,,,2.6,,,,,
29.01.19,20.5,4,69,42,,,1.74,,,,,
30.01.19,22,4,67,47,,,1.74,,,,,
31.01.19,25,6,54,46,,,0,,,,,
Average,28,4,93.85,35.92,0,0,,,,,,
01.02.19,26.5,9,58,41,,,1.74,,,,,
02.02.19,26,9.5,69,49,,,3.47,,,,,
03.02.19,26,12,65,66,,,0.87,,,,,
04.02.19,28.5,12.5,71,69,,,0.87,,,,,
05.02.19,29,12.5,71,50,,,1.74,,,,,
06.02.19,29,12,77,47,,,2.6,,,,,
