SMW,Max.,Min.,Morning,Evening,Rainfall (mm),Rainy days,PAN Evaporation
1,24.8,11.6,85,63,0,0,2.98
2,24.1,9.7,82,65,0,0,2.98
3,27.7,12.8,86,68,0,0,3.41
4,23.4,8.3,85,53,0,0,3.1
5,26.7,10,82,57,0,0,3.29
6,28.7,10.6,89,64,0,0,3.22
7,30.1,13.3,77,65,0,0,3.48
8,33,15.3,74,49,0,0,4.03
9,30.1,17,76,60,7.4,1,4.09
10,29.7,16.1,82,67,83.4,4,2.59
11,26.7,15.7,82,66,0,0,3.85
12,33.3,16.4,73,52,0,0,5.65
13,35.6,16.6,69,42,0,0,6.65
14,37.8,20.1,61,39,0,0,7.45
15,38.6,21,56,36,0,0,8.88
16,37.2,21.2,58,36,0,0,8.65
17,39.7,25,54,32,0,0,9.86
18,42,26.1,41,32,0,0,9.44
19,42.8,27,40,28,3,1,11.86
20,40,27.3,60,32,16,2,11.85
21,36.4,25,82,41,15.8,4,6.04
22,39,28.6,76,40,14.8,1,10.01
23,35.5,26.6,68,43,0,0,9.68
24,39.1,26.3,67,39,0,0,13.55
25,36,27.8,66,38,15,2,8.57
26,33.9,26.6,83,61,11.6,3,7.13
27,31.8,25.7,88,72,40.7,4,4.07
28,29.4,25,88,71,26.4,3,3.15
29,30.1,24.4,94,77,289.2,7,2.41
30,27,24.3,94,88,90.4,5,1.71
31,28.1,24.3,91,83,58.4,7,2.17
32,27.1,24.3,93,88,53.4,6,1.6
33,26.7,24.1,92,85,689.2,4,1.2
34,27.6,24.2,95,85,26.6,4,2.4
35,26.6,23.3,93,83,124.6,6,3.6
36,29.4,24.3,91,81,102,4,4.1
37,31.6,25,91,71,77.2,4,4.6
38,30.6,24.4,89,82,145,3,3.62
39,30.8,23.4,90,72,21.2,1,4.27
40,32,23.7,90,69,0,0,4.47
41,32.7,24.6,82,63,0,0,4.16
42,33.4,20.3,85,65,37.6,1,3.57
43,31.1,18,82,68,0,0,3.54
44,29.4,19.3,86,71,1.3,1,3.35
45,29.6,15.7,81,63,0,0,3.48
46,29,14.7,82,65,0,0,3.42
47,29,14.6,83,70,0,0,2.79
48,26.6,15.4,84,78,14.6,1,3.01
49,28.1,15.7,87,70,0,0,2.92
50,26.1,12.6,85,65,0,0,3.1
51,25.1,10.3,88,53,0,0,3.09
52,25,12.8,87,77,0,0,2.67
