Date,Max.,Min.,Morn,Eve,Rain,Rainy Days ,PE,Year
,21.0,13.5,78.0,49.0,0.0,0.0,0.43,1996
,22.5,13.5,78.0,49.0,2.0,1.0,0.43,1996
,21.5,15.5,78.0,49.0,0.0,0.0,0.43,1996
,19.0,11.5,78.0,49.0,0.0,0.0,0.87,1996
,23.0,8.0,78.0,49.0,0.0,0.0,1.74,1996
,24.0,7.0,78.0,49.0,0.0,0.0,2.6,1996
,25.0,9.0,78.0,49.0,0.0,0.0,2.17,1996
,27.0,13.0,78.0,49.0,0.0,0.0,2.6,1996
,21.0,10.0,78.0,49.0,0.0,0.0,3.04,1996
,18.0,4.0,78.0,49.0,0.0,0.0,1.74,1996
,20.0,4.0,78.0,49.0,0.0,0.0,1.74,1996
,25.0,4.5,78.0,49.0,0.0,0.0,2.17,1996
,27.0,5.0,78.0,49.0,0.0,0.0,3.04,1996
,25.5,12.5,78.0,49.0,0.0,0.0,3.47,1996
,27.0,14.0,78.0,49.0,0.0,0.0,1.74,1996
,23.0,14.5,78.0,49.0,0.0,0.0,3.04,1996
,24.0,14.0,78.0,49.0,0.0,0.0,2.6,1996
,23.0,12.0,78.0,49.0,0.0,0.0,3.04,1996
,21.0,8.5,78.0,49.0,0.0,0.0,2.6,1996
,21.0,5.0,78.0,49.0,0.0,0.0,2.6,1996
,25.0,9.0,78.0,49.0,0.0,0.0,3.04,1996
,27.0,14.5,78.0,49.0,0.0,0.0,3.04,1996
,26.5,11.5,78.0,49.0,0.0,0.0,2.6,1996
,24.5,8.0,78.0,49.0,0.0,0.0,3.47,1996
,25.0,7.5,78.0,49.0,0.0,0.0,2.6,1996
,24.0,7.5,78.0,49.0,0.0,0.0,2.6,1996
,24.5,8.5,78.0,49.0,0.0,0.0,2.6,1996
,26.0,10.0,78.0,49.0,0.0,0.0,3.04,1996
,24.5,12.0,78.0,49.0,0.0,0.0,2.6,1996
,22.0,8.0,78.0,49.0,0.0,0.0,2.17,1996
,23.0,7.0,78.0,49.0,0.0,0.0,1.74,1996
,22.5,7.5,78.0,49.0,0.0,0.0,1.74,1996
,23.0,6.5,78.0,49.0,0.0,0.0,1.74,1996
,24.0,7.5,78.0,49.0,0.0,0.0,2.17,1996
