Date,Max.,Min.,Morn,Eve,Rain,Rainy Days ,PE,,,,,,,,,
01.01.20,21,13.5,,,0,0,0.43,,,,,,,,,
2.01.20,22.5,13.5,,,2,1,0.43,,,,,,,,,
3.01.20,21.5,15.5,,,0,0,0.43,,,,,,,,,
4.01.20,19,11.5,,,0,0,0.87,,,,,,,,,
5.01.20,23,8,,,0,0,1.74,,,,,,,,,
6.01.20,24,7,,,0,0,2.6,,,,,,,,,
7.01.20,25,9,,,0,0,2.17,,,,,,,,,
8.01.20,27,13,,,0,0,2.6,,,,,,,,,
9.01.20,21,10,,,0,0,3.04,,,, ,,,,,
10.01.20,18,4,,,0,0,1.74,,,,,,,,,
11.01.20,20,4,,,0,0,1.74,,,,,,,,,
12.01.20,25,4.5,,,0,0,2.17,,,,,,,,,
13.01.20,27,5,,,0,0,3.04,,,,,,,,,
14.01.20,25.5,12.5,,,0,0,3.47,,,,,,,,,
15.01.20,27,14,,,0,0,1.74,,,,,,,,,
16.01.20,23,14.5,,,0,0,3.04,,,,,,,,,
17.01.20,24,14,,,0,0,2.6,,,,,,,,,
18.01.20,23,12,,,0,0,3.04,,,,,,,,,
19.01.20,21,8.5,,,0,0,2.6,,,,,,,,,
20.01.20,21,5,,,0,0,2.6,,,,,,,,,
21.01.20,25,9,,,0,0,3.04,,,,,,,,,
22.01.20,27,14.5,,,0,0,3.04,,,,,,,,,
23.01.20,26.5,11.5,,,0,0,2.6,,,,,,,,,
24.01.20,24.5,8,,,0,0,3.47,,,,,,,,,
25.01.20,25,7.5,,,0,0,2.6,,,,,,,,,
26.01.20,24,7.5,,,0,0,2.6,,,,,,,,,
27.01.20,24.5,8.5,,,0,0,2.6,,,,,,,,,
28.01.20,26,10,,,0,0,3.04,,,,,,,,,
29.01.20,24.5,12,,,0,0,2.6,,,,,,,,,
30.01.20,22,8,,,0,0,2.17,,,,,,,,,
31.01.20,23,7,,,0,0,1.74,,,,,,,,,
Average,27,4,0,0,2,1,2.31,,,,,,,,,
01.02.20,22.5,7.5,,,0,0,1.74,,,,,,,,,
02.02.20,23,6.5,,,0,0,1.74,,,,,,,,,
03.02.20,24,7.5,,,0,0,2.17,,,,,,,,,
04.02.20,24,11,,,0,0,2.6,,,,,,,,,
05.02.20,22.5,12,,,0,0,1.3,,,,,,,,,
06.02.20,24,11,,,0,0,0.87,,,,,,,,,
07.02.20,24.5,10.5,,,0,0,1.3,,,,,,, ,,
08.02.20,24.5,9.5,,,0,0,1.3,,,,,,,,,
09.02.20,24,8,,,0,0,1.74,,,,,,,,,
10.02.20,25,6.5,,,0,0,1.74,,,,,,,,,
11.02.20,25.5,7.5,,,0,0,1.74,,,,,,,,,
12.02.20,27,9.5,, ,0,0,2.17,,,,,,,,,
13.02.20,28,9,,,0,0,2.6,,,,,,,,,
14.02.20,29,8,,,0,0,2.6,,,,,,,,,
15.02.20,29,11,,,0,0,2.6,,,,,,,,,
16.02.20,28,10,,,0,0,3.04,,,,,,,,,
17.02.20,28,8.5,,,0,0,3.91,,,,,,,,,
18.02.20,30,7,,,0,0,3.04,,,,,,,,,
19.02.20,30,8.5,,,0,0,3.47,,,,,,,,,
20.02.20,31,12.5,,,0,0,3.47,,,,,,,,,
21.02.20,30,123.5,,,0,0,3.47,,,,,,,,,
22.02.20,29,15,,,0,0,3.47,,,,,,,,,
23.02.20,29.5,14,,,0,0,3.47,,,, ,,,,,
24.02.20,30,13.5,,,0,0,3.47,,,,,,,,,
25.02.20,28,10.5,,,0,0,3.91,,,,,,,,,
26.02.20,28,9,,,0,0,2.6,,,,,,,,,
27.02.20,29.5,11.5,,,0,0,3.04,,,,,,,,,
28.02.20,30,12,,,0,0,3.47,,,,,,,,,
29.02.20,29,13,,,0,0,3.04,,,,,,,,,
Average,31,6.5,0,0,0,0,2.59,,,,,,,,,
01.03.20,28,13.5,,,0,0,3.04,,,,,,,,,
02.03.20,26.5,13,,,1.2,1,2.17,,,,,,,,,
03.03.20,28,13,,,0,0,0.87,,,,,,,,,
04.03.20,30,11.5,,,0,0,2.17,,,,,,,,,
05.03.20,30,12,,,0,0,2.6,,,,,,,,,
