Date,Max.,Min.,Morn,Eve,Rain,Rainy Days ,PE
01.01.10,22.1,7.9,94,36,0,0,2.61
2.01.10,22.8,6.8,83,38,0,0,5.65
3.01.10,25,10.3,84,48,0,0,2.61
4.01.10,23,12.6,82,46,0,0,3.48
5.01.10,21.8,7.5,99,48,0,0,2.61
6.01.10,20.9,6,99,47,0,0,2.61
7.01.10,21.6,6.2,91,44,0,0,2.61
8.01.10,22.5,6.8,90,56,6,1,2.61
9.01.10,13.5,8.6,92,47,0,0,2.17
10.01.10,25.3,9.1,91,43,0,0,2.17
11.01.10,23.4,11.3,91,61,0,0,1.74
12.01.10,20.9,14.3,91,74,0,0,1.74
13.01.10,24.1,16.8,99,55,0,0,1.3
14.01.10,20,13.2,90,63,0,0,3.4
15.01.10,17.6,8.5,99,67,0,0,1.74
16.01.10,20.8,5.9,99,45,0,0,1.74
17.01.10,20.9,6.2,98,50,0,0,2.17
18.01.10,22.1,6.1,96,49,0,0,2.17
19.01.10,22.4,6.1,91,37,0,0,2.61
20.01.10,23.1,5.7,88,44,0,0,2.17
21.01.10,23.5,6.1,90,39,0,0,2.61
22.01.10,22.8,6.7,94,38,0,0,1.74
23.01.10,24.4,7.7,86,43,0,0,1.74
24.01.10,26.3,9.4,87,42,0,0,2.17
25.01.10,26,10,91,50,0,0,2.17
26.01.10,25.2,9.4,87,43,0,0,2.61
27.01.10,24.4,9.3,84,37,0,0,2.17
28.01.10,25.2,9.6,85,43,0,0,2.61
29.01.10,25.7,9.3,84,49,0,0,3.48
30.01.10,26.8,11.6,88,42,0,0,2.63
31.01.10,26.6,11.7,91,43,0,0,3.04
Average,26.8,5.7,61,36,6,1,2.48
1.02.10,26.2,11,80,44,0,0,3.48
2.02.10,24.4,11,95,61,0,0,2.61
3.02.10,24.2,11.7,84,50,0,0,3.04
4.02.10,21.1,13.2,93,74,0,0,3.04
5.02.10,24.6,9.9,98,44,0,0,3.04
6.02.10,26.6,10.5,90,43,0,0,2.17
7.02.10,28.2,10.7,85,45,0,0,2.61
8.02.10,27.9,11.2,89,43,0,0,3.04
9.02.10,26.2,16.7,73,62,0,0,2.61
10.02.10,26.6,14.7,93,51,0,0,2.61
11.02.10,21.8,16.8,87,83,0,0,1.74
12.02.10,26.9,16.2,99,64,0,0,3.04
13.02.10,25.7,14.9,99,69,0,0,3.04
14.02.10,26.4,13.2,99,60,0,0,3.48
15.02.10,25.3,13.6,90,66,0,0,1.74
16.02.10,27.3,14.8,98,48,0,0,2.61
17.02.10,27.4,12.3,97,37,0,0,3.48
18.02.10,25.5,9.6,86,39,0,0,3.91
19.02.10,25.7,7.7,94,34,0,0,3.04
20.02.10,27.6,8.5,90,34,0,0,3.04
21.02.10,28.4,109,78,34,0,0,3.91
22.02.10,24.9,13.2,82,66,0,0,3.48
23.02.10,29.4,12.9,87,43,0,0,1.74
24.02.10,27.7,12.9,75,34,0,0,3.04
25.02.10,29.9,11,96,33,0,0,3.91
26.02.10,29.8,11.8,91,33,0,0,4.34
27.02.10,31.3,11.8,91,30,0,0,3.91
28.02.10,31.7,12.2,91,30,0,0,3.48
Average,31.7,7.7,99,30,0,0,3.04
1.03.10,31.9,12.3,86,35,0,0,3.48
2.03.10,31.5,12.8,87,29,0,0,4.34
3.03.10,31,17.7,61,41,0,0,3.48
4.03.10,31.3,12.6,90,32,0,0,3.04
05.03.10,31.8,15.6,73,37,0,0,4.34
6.03.10,31.9,15.7,90,33,0,0,3.04
7.03.10,30.6,18,74,40,0,0,4.34
8.03.10,29.9,14.6,83,42,0,0,3.04
9.03.10,30.6,13.9,72,30,0,0,6.09
10.03.10,31.3,14.2,66,24,0,0,4.34
11.03.10,31.7,18,74,35,0,0,5.22
12.03.10,32.7,17.6,92,42,0,0,3.48
13.03.10,35.1,16.6,90,25,0,0,3.91
14.03.10,35.6,13.2,82,13,0,0,3.91
15.03.10,35.9,16,60,16,0,0,5.22
16.03.10,37,14.2,79,15,0,0,3.91
17.03.10,37.8,15.3,65,12,0,0,5.65
18.03.10,37.2,17.3,63,19,0,0,4.34
19.03.10,37.8,16,53,15,0,0,6.09
20.03.10,37.4,17.3,62,16,0,0,6.52
21.03.10,38.8,14.1,66,12,0,0,6.09
22.03.10,39.7,18.4,51,11,0,0,6.52
23.03.10,38.8,17,49,11,0,0,6.09
24.03.10,38.5,19.1,43,13,0,0,6.96
25.03.10,37.5,17.1,65,12,0,0,10.43
26.03.10,37.5,16.8,57,17,0,0,9.56
27.03.10,37.7,18.1,53,17,0,0,5.22
28.03.10,37.7,18.3,43,16,0,0,5.65
29.03.10,38.4,18.3,44,13,0,0,9.12
30.03.10,36.7,20,40,14,0,0,6.96
31.03.10,37.7,21,38,11,0,0,10.43
Average,39.7,12.3,92,11,0,0,5.51
1.04.10,33.8,19.3,47,26,0,0,8.69
2.04.10,36.7,20.5,53,19,0,0,8.69
3.04.10,37.2,20.9,43,13,0,0,8.26
4.04.10,36.8,15.5,32,10,0,0,9.56
5.04.10,38.8,21,36,11,0,0,8.61
