Date,Max.,Min.,Morn,Eve,Rain,Rainy Days ,PE,cloud cover
01.01.17,28.2,13.6,66,43,0,0,,
2.01.17,26.5,12.6,90,70,0,0,,
3.01.17,24.7,12,91,69,0,0,,
4.01.17,27.5,11.4,89,44,0,0,,
5.01.17,28.2,10.4,81,49,0,0,,
6.01.17,29.5,10.4,71,60,0,0,,
7.01.17,26.7,11,83,51,0,0,,
8.01.17,29.6,12.4,85,33,0,0,,
9.01.17,26.4,13.4,87,59,0,0,,
10.01.17,23.4,12.6,83,55,0,0,,
11.01.17,22.5,9.2,77,49,0,0,,
12.01.17,22.5,7,65,46,0,0,,
13.01.17,22.5,6.6,65,48,0,0,,
14.01.17,24.4,8.4,48,47,0,0,,
15.01.17,24.5,11.4,60,53,0,0,,
16.01.17,26.5,13.8,60,46,0,0,,
17.01.17,27.1,14.4,74,52,0,0,,
18.01.17,25.3,13,81,67,0,0,,
19.01.17,26.6,12.9,83,55,0,0,,
20.01.17,26.7,14.6,77,55,0,0,,
21.01.17,28.7,13.2,69,59,0,0,,
22.01.17,28.6,15.4,76,47,0,0,,
23.01.17,31.1,15,71,52,0,0,,
24.01.17,31.6,16,64,50,0,0,,
25.01.17,31.9,16,77,60,0,0,,
26.01.17,30.9,14.8,75,41,0,0,,
27.01.17,27,16.2,89,51,3.3,1,,
28.01.17,25.7,13,75,65,0,0,,
29.01.17,27.4,11.6,79,53,0,0,,
30.01.17,29.4,11.8,83,37,0,0,,
31.01.17,29.7,12.4,79,31,0,0,,
Average,31.9,6.6,90.71,30.94,3.3,1,0,0
01.02.17,30.5,13.2,64,35,0,0,,
02.02.17,30.3,13.8,62,45,0,0,,
03.02.17,29.7,13.4,70,45,0,0,,
04.02.17,32.2,14.6,70,48,0,0,,
05.02.17,30.9,16,65,40,0,0,,
06.02.17,25.7,15.8,65,45,0,0,,
07.02.17,27.7,11,83,46,0,0,,
08.02.17,31.9,13,70,25,0,0,,
09.02.17,29.4,14.4,78,46,0,0,,
10.02.17,26.5,13.9,70,47,0,0,,
11.02.17,23.9,15.4,52,70,0,0,,
12.02.17,29.5,15.2,86,63,1.3,1,,
13.02.17,30,16.9,87,59,0,0,,
14.02.17,30.1,18.4,73,54,0,0,,
15.02.17,29.7,17.6,75,50,0,0,,
16.02.17,31.2,15,64,40,0,0,,
17.02.17,32.1,14.9,70,33,0,0,,
18.02.17,33.2,16,66,39,0,0,,
19.02.17,33,14.8,83,34,0,0,,
20.02.17,32.3,15,81,40,0,0,,
21.02.17,30.3,16.4,59,38,0,0,,
22.02.17,29.1,14,66,37,0,0,,
23.02.17,32.7,14.8,78,34,0,0,,
24.02.17,29.9,13.6,57,38,0,0,,
25.02.17,30.9,12.6,59,26,0,0,,
26.02.17,31.9,12.4,71,29,0,0,,
27.02.17,32.4,14.6,59,25,0,0,,
28.02.17,33.8,16,44,22,0,0,,
Average,33.8,11,86.62,21.58,1.3,2,,0
01.03.17,35.3,16.4,57,22,0,0,,
02.03.17,34.6,16.8,67,34,0,0,,
03.03.17,33.3,16.8,79,29,0,0,,
04.03.17,33.5,16.4,64,36,0,0,,
05.03.17,33,16.8,46,32,0,0,,
06.03.17,31.3,16,34,21,0,0,,
07.03.17,33.1,18,33,33,0,0,,
08.03.17,33.6,18.6,46,22,0,0,,
09.03.17,34,16.4,49,26,0,0,,
10.03.17,32.7,16.6,50,27,0,0,,
11.03.17,30,17,63,22,0,0,,
12.03.17,30,13,57,28,0,0,,
13.03.17,30.2,13.4,42,31,0,0,,
14.03.17,32,14.6,34,20,0,0,,
15.03.17,34.7,11.6,35,22,0,0,,
16.03.17,35.8,18.6,32,22,0,0,,
17.03.17,36,16.4,59,24,0,0,,
18.03.17,35.5,16,49,23,0,0,,
19.03.17,33.4,20.4,49,24,0,0,,
20.03.17,33.7,17.4,61,24,0,0,,
21.03.17,36.3,16.6,46,18,0,0,,
22.03.17,38.9,17.7,59,20,0,0,,
23.03.17,40.4,19.2,57,14,0,0,,
24.03.17,40,19.2,39,19,0,0,,
25.03.17,40.9,21,44,19,0,0,,
26.03.17,41,20.6,42,19,0,0,,
27.03.17,40,23,28,20,0,0,,
28.03.17,42.5,21.6,58,18,0,0,,
29.03.17,42.9,22,31,14,0,0,,
30.03.17,42.9,23,29,9,0,0,,
31.03.17,42.2,26,32,16,0,0,,
Average,42.9,11.6,79.31,9.17,0,0,,0
01.04.17,41.8,23.9,32,15,0,0,,
02.04.17,40.5,23,34,16,0,0,,
03.04.17,40,22,34,16,0,0,,
04.04.17,40.1,23.4,39,10,0,0,,
05.04.17,38.9,23,32,19,0,0,,
06.04.17,40,22.9,49,12,0,0,,
07.04.17,38.3,21.2,36,12,0,0,,
08.04.17,39.7,19.8,29,15,0,0,,
09.04.17,39.5,22.4,22,14,0,0,,
10.04.17,39.5,21,17,14,0,0,,
11.04.17,41.1,18.6,30,11,0,0,,
12.04.17,42.2,20.4,25,15,0,0,,
13.04.17,43.1,21.4,22,16,0,0,,
14.04.17,43.5,21.6,37,17,0,0,,
15.04.17,44.7,21.8,29,14,0,0,,
16.04.17,44.9,25,26,14,0,0,,
17.04.17,44.1,24,25,13,0,0,,
18.04.17,44.4,26.6,21,16,0,0,,
19.04.17,42.3,25,24,9,0,0,,
20.04.17,41.6,22.6,29,14,0,0,,
21.04.17,42.3,26.4,34,14,0,0,,
22.04.17,41,24.6,30,19,0,0,,
23.04.17,38.3,22.6,38,35,0,0,,
24.04.17,38,22,31,24,0,0,,
25.04.17,38.5,22.1,40,21,0,0,,
26.04.17,38.4,24.4,39,14,0,0,,
27.04.17,40,22.8,24,9,0,0,,
28.04.17,41.3,23.4,24,9,0,0,,
29.04.17,41.2,24,27,19,0,0,,
30.04.17,39.9,23.6,30,16,0,0,,
Average,44.9,18.6,48.88,9.17,0,0,,0
1.05.17,40.1,25.6,32,15,0,0,,
2.05.17,42.1,26.6,27,18,0,0,,
3.05.17,42.1,26,30,11,0,0,,
4.05.17,41.5,26.8,37,16,0,0,,
5.05.17,43.1,26.6,41,12,0,0,,
6.05.17,43.5,26,33,14,0,0,,
7.05.17,42.4,26.4,33,14,0,0,,
8.05.17,42.9,27.4,32,18,0,0,,
9.05.17,41.3,26.6,34,15,0,0,,
10.05.17,41.9,28,33,16,0,0,,
11.05.17,42.9,28,39,25,1.2,1,,
12.05.17,44.4,29.4,32,13,0,0,,
13.05.17,45.9,30.4,40,22,0,0,,
14.05.17,45.5,33.6,32,14,0,0,,
15.05.17,43.3,29.6,36,19,0,0,,
16.05.17,43.3,27.4,41,15,0,0,,
17.05.17,42.1,27.4,31,16,0,0,,
18.05.17,41.1,26.4,37,20,0,0,,
19.05.17,42.4,28,36,18,0,0,,
20.05.17,42.5,27.4,41,19,0,0,,
21.05.17,41.6,26.4,41,18,0,0,,
22.05.17,39.7,28.8,36,23,0,0,,
23.05.17,43,28.2,34,18,0,0,,
24.05.17,42.4,27.4,--,19,0,0,,
25.05.17,44.5,30.8,34,11,0,0,,
26.05.17,43,27.6,42,23,0,0,,
27.05.17,43.4,29,49,33,0,0,,
28.05.17,41,28.8,52,28,0.6,1,,
29.05.17,40.1,27,73,37,0,0,,
